                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7525,                  3.437,                 4.0522,                0.00284,                0.19874,                0.00209,                0.00045,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 3.5787,                 3.2631,                 3.8283,                0.00374,                0.26183,                0.00512,                0.00124,                      0,                    inf,                      0,               0.040659,              0.0064487,              0.0064487
                      2,                 3.4453,                 3.1719,                 3.7037,                0.00396,                 0.2776,                0.00354,                0.00095,                      0,                    inf,                      0,               0.010397,              0.0095198,              0.0095198
                      3,                 3.3107,                 3.1521,                 3.5331,                0.00572,                0.39117,                0.00506,                0.00149,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 3.1985,                 3.0932,                 3.3757,                0.03478,                 0.0347,                0.01042,                0.00359,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 3.0021,                 2.8114,                 3.1464,                0.16294,                0.13249,                0.07532,                0.02783,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 2.7464,                 2.5096,                 2.9677,                0.34549,                0.26976,                0.25977,                0.09259,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 2.5082,                 2.2404,                 2.7815,                0.61614,                0.52659,                0.59158,                0.25206,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 2.3004,                 2.0324,                 2.6315,                0.79875,                0.53837,                0.65835,                0.28065,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 2.1317,                   1.83,                  2.496,                0.74086,                 0.5836,                0.63054,                 0.2676,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 2.0321,                 1.7186,                 2.4239,                0.77663,                0.59937,                0.68436,                0.29821,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.9385,                 1.5865,                 2.2968,                0.85844,                0.72871,                0.82565,                0.41264,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.8881,                 1.4861,                  2.236,                0.86472,                0.74132,                0.85855,                0.43571,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.8508,                 1.4823,                 2.2111,                0.70222,                0.42404,                0.48344,                0.22771,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.7545,                 1.3647,                 2.1397,                0.89573,                0.77918,                0.88223,                0.45193,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.7417,                 1.3247,                 2.1004,                0.73392,                0.48727,                 0.5768,                0.27479,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.7107,                 1.3139,                 2.0708,                0.85366,                0.82811,                0.90437,                0.49193,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.6662,                 1.2415,                   2.04,                0.88926,                0.83595,                0.90413,                0.47755,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.6792,                 1.2476,                 2.0357,                0.87223,                0.68454,                0.81333,                0.41701,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.6701,                 1.2424,                 2.0283,                0.62954,                 0.5205,                0.58342,                0.26367,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.6278,                 1.1794,                 1.9641,                0.91056,                 0.7708,                0.89319,                0.48208,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.5983,                 1.1353,                 1.9555,                 0.8681,                0.71609,                0.81741,                0.43986,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.5522,                 1.1094,                 1.9098,                0.93985,                0.89274,                0.95002,                0.51244,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.5579,                 1.0999,                 1.9065,                0.89743,                 0.8612,                0.91044,                0.52366,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.5541,                 1.0993,                 1.9186,                0.93019,                0.84065,                0.93631,                0.51346,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.5228,                 1.0591,                 1.8799,                  0.928,                0.88328,                0.93633,                0.54802,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.5371,                 1.0514,                 1.8725,                 0.9127,                0.76341,                 0.8832,                 0.5064,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.5157,                 1.0454,                 1.8649,                0.93538,                0.86754,                0.92592,                0.53604,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.4979,                 1.0221,                 1.8501,                0.94233,                0.88013,                0.94389,                  0.565,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.4913,                 1.0026,                 1.8456,                0.91168,                0.85174,                0.91728,                0.52817,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.5059,                 1.0106,                 1.8361,                0.94839,                0.86958,                0.93644,                0.53537,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.4614,                0.98313,                 1.8332,                0.90584,                0.88013,                0.93692,                0.56518,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.4798,                0.96966,                 1.8297,                0.85764,                0.66517,                0.76685,                0.44931,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.4548,                0.96705,                 1.8159,                0.91486,                0.90852,                0.95463,                0.58879,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                  1.462,                0.94913,                 1.8205,                0.93813,                0.90875,                0.95334,                0.56332,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.4445,                0.93392,                  1.789,                0.93219,                0.91074,                0.95795,                0.56813,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.4355,                0.93469,                 1.7909,                0.92802,                0.90536,                0.93532,                0.54839,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                 1.4305,                0.93967,                 1.7863,                0.87409,                 0.7884,                0.89536,                0.53478,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.4282,                0.94677,                 1.7972,                0.93976,                0.87066,                0.94149,                0.57753,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.4241,                0.92948,                 1.7696,                0.88642,                0.83706,                0.88672,                0.50771,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 1.3495,                0.81465,                 1.7769,                0.95095,                0.92429,                0.96732,                 0.5868,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.3469,                0.80613,                 1.7582,                0.94843,                0.92114,                0.96718,                0.60244,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 1.3382,                0.82765,                 1.7703,                0.93355,                0.93063,                0.95731,                0.59999,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                 1.3251,                0.78067,                   1.74,                0.93172,                 0.9306,                0.95672,                0.60776,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                 1.2917,                0.74045,                 1.7115,                0.95157,                0.93375,                0.96285,                0.59163,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                 1.2927,                0.75063,                 1.7131,                0.92974,                0.92114,                0.95435,                 0.5868,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                  1.292,                0.75453,                 1.7338,                0.93975,                0.93487,                 0.9664,                0.60286,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                 1.2727,                0.74188,                  1.704,                0.96252,                0.92744,                 0.9696,                0.61305,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 1.2634,                0.73461,                 1.6852,                0.96091,                0.93375,                0.97251,                0.61757,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                 1.2423,                0.72279,                 1.6889,                0.95737,                0.92101,                0.96927,                0.61446,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
